Product Name,Product Name,Rating,MRP,Pack Size,Quantity,,Quantity,Unit,Type,Discount,Category,Key Ingredients,Tokens,Key Ingredients,,,,,
Argan Hair Mask with Argan Avocado Oil and Milk Protein for Frizzfree & Stronger Hair ,Argan Hair Mask With Argan Avocado Oil And Milk Protein For Frizzfree & Stronger Hair ,Not Rated,679,NA,NA,,NA,NA,NA,3%,Hair Oil,Onion Seed Extract  Onion Seed Oil ,onion hair serum onion hair oil combo,Onion Seed Extract Onion Seed Oil,,,,,
Argan Hair Mask with Argan Avocado Oil and Milk Protein for Frizzfree & Stronger Hair ,Argan Hair Mask With Argan Avocado Oil And Milk Protein For Frizzfree & Stronger Hair ,Not Rated,599, 250ml, 250,l,250,ml,Volumn,0%,Hair Oil,Onion Seed Oil ,onion hair oil hair regrowth hair fall control,Onion Seed Oil,,,,,
Argan Hair Mask with Argan Avocado Oil and Milk Protein for Frizzfree & Stronger Hair ,Argan Hair Mask With Argan Avocado Oil And Milk Protein For Frizzfree & Stronger Hair ,Not Rated,349, 100g, 100,,100,gram,Weight,0%,Unknown ,Turmeric ,ubtan face scrub turmeric walnut tan removal,Turmeric,,,,,
Argan Hair Oil with Argan Oil & Avocado Oil for FrizzFree & Stronger Hair ,Argan Hair Oil With Argan Oil & Avocado Oil For Frizzfree & Stronger Hair ,Not Rated,399,200 ml,200 ,l,200,ml,Volumn,0%,Unknown ,Vitamin C ,vitamin c face toner vitamin c cucumber pore tightening,Vitamin C,,,,,
Argan Shampoo and Conditioner Combo,Argan Shampoo And Conditioner Combo,Not Rated,399, 300ml, 300,l,300,ml,Volumn,0%,Body Kit,Aloe Vera ,aloe vera gel pure aloe vera vitamin e skin hair,Aloe Vera,,,,,
Argan Shampoo with Argan & Apple Cider Vinegar for Frizzfree & Stronger Hair  ,Argan Shampoo With Argan & Apple Cider Vinegar For Frizzfree & Stronger Hair  ,Not Rated,299,100 ml,100 ,l,100,ml,Volumn,0%,Unknown ,Onion Seed Extract ,onion hair serum onion biotin strong frizz free hair,Onion Seed Extract,,,,,
BhringAmla Conditioner with Bhringraj & Amla for Intense Hair Treatment ,Bhringamla Conditioner With Bhringraj & Amla For Intense Hair Treatment ,Not Rated,599, 30 ml, 30 ,l,30,ml,Volumn,0%,Face Cream,Niacinamide ,skin correct face serum niacinamide ginger extract acne marks scars,Niacinamide,,,,,
BhringAmla Hair Mask with Bhringraj & Amla for Intense Hair Treatment ,Bhringamla Hair Mask With Bhringraj & Amla For Intense Hair Treatment ,Not Rated,599, 30 gm, 30 ,m,30,gram,Weight,0%,Face Cream,Vitamin C ,skin illuminate face serum radiant skin vitamin c turmeric,Vitamin C,,,,,
BhringAmla Hair Oil with Bhringraj & Amla for Intense Hair Treatment ,Bhringamla Hair Oil With Bhringraj & Amla For Intense Hair Treatment ,Not Rated,399,20ml,20,l,20,ml,Volumn,0%,Unknown ,Cucumber Extract  Daisy Flower Extract  Peptides  Hawkweed Extract ,bye bye dark circles eye cream cucumber peptides dark circles,Cucumber Extract Daisy Flower Extract Peptides Hawkweed Extract,,,,,
BhringAmla Shampoo and Conditioner Combo,Bhringamla Shampoo And Conditioner Combo,5,559, 400ml, 400,l,400,ml,Volumn,0%,Hair Shampoo,Onion Seed Oil ,onion shampoo hair growth hair fall control onion oil plant keratin,Onion Seed Oil,,,,,
